company_id,company_name,sector,rule_id,type,triggered,confidence_pct,eligible_after_threshold,reason,latest_roe,latest_roce,latest_debt_to_equity,latest_interest_coverage,latest_free_cash_flow,latest_revenue,latest_net_profit,latest_opm,latest_eps,latest_dividend_yield,latest_total_assets,latest_borrowings,latest_net_debt,latest_ebitda,trailing_revenue_cagar,trailing_profit_cagr,trailing_eps_cagr,history_years_count,history_roe_len,history_fcf_len,history_opm_len,history_revenue_len
BOSCHLTD,Bosch Ltd,,CON_07,con,False,0.0,False,Dividend Payout = 44.0% (<= 100%),8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,CON_08,con,False,0.0,False,No 3-year consecutive D/E rise.,8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,CON_09,con,False,0.0,False,No 3-year consecutive EPS decline.,8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,CON_10,con,False,0.0,False,ROCE = 12.4% (>= 10%),8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,CON_11,con,False,0.0,False,Net Debt/EBITDA = -2.01x (<= 3x),8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
BOSCHLTD,Bosch Ltd,,CON_12,con,False,0.0,False,Revenue CAGR 5yr = 5.9% (>= 5%),8300.0,12.37,1.3,42.08,,16727.0,2490.0,13.0,844.0,,17355.0,39.0,-5086.0,2525.0,5.86,6.69,7.26,12,12,12,12,12
COALINDIA,Coal India Ltd,,PRO_01,pro,True,95.0,True,ROE > 20% for 12 consecutive years; avg ROE=282.0%,606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,PRO_02,pro,False,0.0,False,No FCF history available,606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,PRO_03,pro,False,0.0,False,D/E = 1.0600 (not debt-free),606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,PRO_04,pro,False,0.0,False,Revenue CAGR 5yr = 6.2% (<= 15%),606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,PRO_05,pro,True,95.0,True,OPM = 47971.0%,606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,PRO_06,pro,False,0.0,False,PAT CAGR 5yr = 5.8% (<= 20%),606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,PRO_07,pro,True,62.69,True,ICR = 12.2 (> 10),606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,PRO_08,pro,False,0.0,False,FCF unavailable,606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,PRO_09,pro,False,0.0,False,EPS CAGR 5yr = 6.3% (<= 15%),606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,PRO_10,pro,True,95.0,True,ROE improved from 206.1% to 606.3% over 3 consecutive YoY steps,606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,PRO_11,pro,True,60.99,True,Revenue CAGR (6.2%) > PAT CAGR (5.8%). SPEC CONTRADICTION: 'Revenue growing slower than profits' (text) conflicts with condition Revenue CAGR > PAT CAGR.,606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,PRO_12,pro,False,0.0,False,borrowings not declining,606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,CON_01,con,False,0.0,False,D/E = 1.06 (<= 2.0),606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,CON_02,con,False,0.0,False,No 3-year consecutive negative FCF streak.,606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,CON_03,con,False,0.0,False,No 3-year consecutive OPM decline.,606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,CON_04,con,False,0.0,False,"Latest Net Profit = 37,369 (>= 0)",606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,CON_05,con,False,0.0,False,No 2-year consecutive revenue decline.,606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,CON_06,con,False,0.0,False,ICR = 12.24 (>= 1.5),606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,CON_07,con,False,0.0,False,Dividend Payout = 42.0% (<= 100%),606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,CON_08,con,False,0.0,False,No 3-year consecutive D/E rise.,606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,CON_09,con,False,0.0,False,No 3-year consecutive EPS decline.,606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,CON_10,con,False,0.0,False,ROCE = 43.5% (>= 10%),606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,CON_11,con,False,0.0,False,Net Debt/EBITDA = -0.01x (<= 3x),606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
COALINDIA,Coal India Ltd,,CON_12,con,False,0.0,False,Revenue CAGR 5yr = 6.2% (>= 5%),606.34,43.45,1.06,12.24,,142324.0,37369.0,47971.0,61.0,,236470.0,6523.0,-587.0,101087.0,6.18,5.85,6.27,12,12,12,12,12
DIVISLAB,Divis Laboratories Ltd,,PRO_01,pro,True,95.0,True,ROE > 20% for 12 consecutive years; avg ROE=2913.9%,3018.87,14.32,0.06,553.5,,7845.0,1600.0,28.0,60.0,,15460.0,3.0,-79.0,2588.0,12.28,9.74,9.59,12,12,12,12,12
DIVISLAB,Divis Laboratories Ltd,,PRO_02,pro,False,0.0,False,No FCF history available,3018.87,14.32,0.06,553.5,,7845.0,1600.0,28.0,60.0,,15460.0,3.0,-79.0,2588.0,12.28,9.74,9.59,12,12,12,12,12
DIVISLAB,Divis Laboratories Ltd,,PRO_03,pro,False,0.0,False,D/E = 0.0600 (not debt-free),3018.87,14.32,0.06,553.5,,7845.0,1600.0,28.0,60.0,,15460.0,3.0,-79.0,2588.0,12.28,9.74,9.59,12,12,12,12,12
DIVISLAB,Divis Laboratories Ltd,,PRO_04,pro,False,0.0,False,Revenue CAGR 5yr = 12.3% (<= 15%),3018.87,14.32,0.06,553.5,,7845.0,1600.0,28.0,60.0,,15460.0,3.0,-79.0,2588.0,12.28,9.74,9.59,12,12,12,12,12
DIVISLAB,Divis Laboratories Ltd,,PRO_05,pro,True,63.6,True,OPM = 28.0%,3018.87,14.32,0.06,553.5,,7845.0,1600.0,28.0,60.0,,15460.0,3.0,-79.0,2588.0,12.28,9.74,9.59,12,12,12,12,12
DIVISLAB,Divis Laboratories Ltd,,PRO_06,pro,False,0.0,False,PAT CAGR 5yr = 9.7% (<= 20%),3018.87,14.32,0.06,553.5,,7845.0,1600.0,28.0,60.0,,15460.0,3.0,-79.0,2588.0,12.28,9.74,9.59,12,12,12,12,12
DIVISLAB,Divis Laboratories Ltd,,PRO_07,pro,True,95.0,True,ICR = 553.5 (> 10),3018.87,14.32,0.06,553.5,,7845.0,1600.0,28.0,60.0,,15460.0,3.0,-79.0,2588.0,12.28,9.74,9.59,12,12,12,12,12
DIVISLAB,Divis Laboratories Ltd,,PRO_08,pro,False,0.0,False,dividend yield = 0.2% (<= 2%); FCF unavailable,3018.87,14.32,0.06,553.5,,7845.0,1600.0,28.0,60.0,,15460.0,3.0,-79.0,2588.0,12.28,9.74,9.59,12,12,12,12,12
DIVISLAB,Divis Laboratories Ltd,,PRO_09,pro,False,0.0,False,EPS CAGR 5yr = 9.6% (<= 15%),3018.87,14.32,0.06,553.5,,7845.0,1600.0,28.0,60.0,,15460.0,3.0,-79.0,2588.0,12.28,9.74,9.59,12,12,12,12,12
DIVISLAB,Divis Laboratories Ltd,,PRO_10,pro,False,0.0,False,ROE not improving for 3 consecutive years,3018.87,14.32,0.06,553.5,,7845.0,1600.0,28.0,60.0,,15460.0,3.0,-79.0,2588.0,12.28,9.74,9.59,12,12,12,12,12
DIVISLAB,Divis Laboratories Ltd,,PRO_11,pro,True,67.62,True,Revenue CAGR (12.3%) > PAT CAGR (9.7%). SPEC CONTRADICTION: 'Revenue growing slower than profits' (text) conflicts with condition Revenue CAGR > PAT CAGR.,3018.87,14.32,0.06,553.5,,7845.0,1600.0,28.0,60.0,,15460.0,3.0,-79.0,2588.0,12.28,9.74,9.59,12,12,12,12,12
DIVISLAB,Divis Laboratories Ltd,,PRO_12,pro,False,0.0,False,borrowings not declining,3018.87,14.32,0.06,553.5,,7845.0,1600.0,28.0,60.0,,15460.0,3.0,-79.0,2588.0,12.28,9.74,9.59,12,12,12,12,12
DIVISLAB,Divis Laboratories Ltd,,CON_01,con,False,0.0,False,D/E = 0.06 (<= 2.0),3018.87,14.32,0.06,553.5,,7845.0,1600.0,28.0,60.0,,15460.0,3.0,-79.0,2588.0,12.28,9.74,9.59,12,12,12,12,12
